"Cell.ID"	"Condition"
"I_A1_S193_R1_001"	"OD 1.0"
"I_A10_S202_R1_001"	"OD 0.3"
"I_A11_S203_R1_001"	"OD 0.3"
"I_A12_S204_R1_001"	"OD 0.3"
"I_A2_S194_R1_001"	"OD 1.0"
"I_A3_S195_R1_001"	"OD 1.0"
"I_A4_S196_R1_001"	"OD 2.0"
"I_A5_S197_R1_001"	"OD 2.0"
"I_A6_S198_R1_001"	"OD 2.0"
"I_A7_S199_R1_001"	"OD 0.1"
"I_A8_S200_R1_001"	"OD 0.1"
"I_A9_S201_R1_001"	"OD 0.1"
"I_B1_S205_R1_001"	"OD 1.0"
"I_B10_S214_R1_001"	"OD 0.3"
"I_B11_S215_R1_001"	"OD 0.3"
"I_B12_S216_R1_001"	"OD 0.3"
"I_B2_S206_R1_001"	"OD 1.0"
"I_B3_S207_R1_001"	"OD 1.0"
"I_B4_S208_R1_001"	"OD 2.0"
"I_B5_S209_R1_001"	"OD 2.0"
"I_B6_S210_R1_001"	"OD 2.0"
"I_B7_S211_R1_001"	"OD 0.1"
"I_B8_S212_R1_001"	"OD 0.1"
"I_B9_S213_R1_001"	"OD 0.1"
"I_C1_S217_R1_001"	"OD 1.0"
"I_C10_S226_R1_001"	"OD 0.3"
"I_C11_S227_R1_001"	"OD 0.3"
"I_C12_S228_R1_001"	"OD 0.3"
"I_C2_S218_R1_001"	"OD 1.0"
"I_C3_S219_R1_001"	"OD 1.0"
"I_C4_S220_R1_001"	"OD 2.0"
"I_C5_S221_R1_001"	"OD 2.0"
"I_C6_S222_R1_001"	"OD 2.0"
"I_C7_S223_R1_001"	"OD 0.1"
"I_C8_S224_R1_001"	"OD 0.1"
"I_C9_S225_R1_001"	"OD 0.1"
"I_D1_S229_R1_001"	"OD 1.0"
"I_D10_S238_R1_001"	"OD 0.3"
"I_D11_S239_R1_001"	"OD 0.3"
"I_D12_S240_R1_001"	"OD 0.3"
"I_D2_S230_R1_001"	"OD 1.0"
"I_D3_S231_R1_001"	"OD 1.0"
"I_D4_S232_R1_001"	"OD 2.0"
"I_D5_S233_R1_001"	"OD 2.0"
"I_D6_S234_R1_001"	"OD 2.0"
"I_D7_S235_R1_001"	"OD 0.1"
"I_D8_S236_R1_001"	"OD 0.1"
"I_D9_S237_R1_001"	"OD 0.1"
"I_E1_S241_R1_001"	"OD 1.0"
"I_E10_S250_R1_001"	"OD 0.3"
"I_E11_S251_R1_001"	"OD 0.3"
"I_E12_S252_R1_001"	"OD 0.3"
"I_E2_S242_R1_001"	"OD 1.0"
"I_E3_S243_R1_001"	"OD 1.0"
"I_E4_S244_R1_001"	"OD 2.0"
"I_E5_S245_R1_001"	"OD 2.0"
"I_E6_S246_R1_001"	"OD 2.0"
"I_E7_S247_R1_001"	"OD 0.1"
"I_E8_S248_R1_001"	"OD 0.1"
"I_E9_S249_R1_001"	"OD 0.1"
"I_F1_S253_R1_001"	"OD 1.0"
"I_F10_S262_R1_001"	"OD 0.3"
"I_F11_S263_R1_001"	"OD 0.3"
"I_F12_S264_R1_001"	"OD 0.3"
"I_F2_S254_R1_001"	"OD 1.0"
"I_F3_S255_R1_001"	"OD 1.0"
"I_F4_S256_R1_001"	"OD 2.0"
"I_F5_S257_R1_001"	"OD 2.0"
"I_F6_S258_R1_001"	"OD 2.0"
"I_F7_S259_R1_001"	"OD 0.1"
"I_F8_S260_R1_001"	"OD 0.1"
"I_F9_S261_R1_001"	"OD 0.1"
"I_G1_S265_R1_001"	"OD 1.0"
"I_G10_S274_R1_001"	"OD 0.3"
"I_G11_S275_R1_001"	"OD 0.3"
"I_G12_S276_R1_001"	"OD 0.3"
"I_G2_S266_R1_001"	"OD 1.0"
"I_G3_S267_R1_001"	"OD 1.0"
"I_G4_S268_R1_001"	"OD 2.0"
"I_G5_S269_R1_001"	"OD 2.0"
"I_G6_S270_R1_001"	"OD 2.0"
"I_G7_S271_R1_001"	"OD 0.1"
"I_G8_S272_R1_001"	"OD 0.1"
"I_G9_S273_R1_001"	"OD 0.1"
"I_H1_S277_R1_001"	"OD 1.0"
"I_H10_S286_R1_001"	"OD 0.3"
"I_H11_S287_R1_001"	"OD 0.3"
"I_H12_S288_R1_001"	"OD 0.3"
"I_H2_S278_R1_001"	"OD 1.0"
"I_H3_S279_R1_001"	"OD 1.0"
"I_H4_S280_R1_001"	"OD 2.0"
"I_H5_S281_R1_001"	"OD 2.0"
"I_H6_S282_R1_001"	"OD 2.0"
"I_H7_S283_R1_001"	"OD 0.1"
"I_H8_S284_R1_001"	"OD 0.1"
"I_H9_S285_R1_001"	"OD 0.1"
"II_A1_S289_R1_001"	"OD 2.0"
"II_A10_S298_R1_001"	"OD 1.0"
"II_A11_S299_R1_001"	"OD 1.0"
"II_A12_S300_R1_001"	"OD 1.0"
"II_A2_S290_R1_001"	"OD 2.0"
"II_A3_S291_R1_001"	"OD 2.0"
"II_A4_S292_R1_001"	"OD 0.1"
"II_A5_S293_R1_001"	"OD 0.1"
"II_A6_S294_R1_001"	"OD 0.1"
"II_A7_S295_R1_001"	"OD 0.3"
"II_A8_S296_R1_001"	"OD 0.3"
"II_A9_S297_R1_001"	"OD 0.3"
"II_B1_S301_R1_001"	"OD 2.0"
"II_B10_S310_R1_001"	"OD 1.0"
"II_B11_S311_R1_001"	"OD 1.0"
"II_B12_S312_R1_001"	"OD 1.0"
"II_B2_S302_R1_001"	"OD 2.0"
"II_B3_S303_R1_001"	"OD 2.0"
"II_B4_S304_R1_001"	"OD 0.1"
"II_B5_S305_R1_001"	"OD 0.1"
"II_B6_S306_R1_001"	"OD 0.1"
"II_B7_S307_R1_001"	"OD 0.3"
"II_B8_S308_R1_001"	"OD 0.3"
"II_B9_S309_R1_001"	"OD 0.3"
"II_C1_S313_R1_001"	"OD 2.0"
"II_C10_S322_R1_001"	"OD 1.0"
"II_C11_S323_R1_001"	"OD 1.0"
"II_C12_S324_R1_001"	"OD 1.0"
"II_C2_S314_R1_001"	"OD 2.0"
"II_C3_S315_R1_001"	"OD 2.0"
"II_C4_S316_R1_001"	"OD 0.1"
"II_C5_S317_R1_001"	"OD 0.1"
"II_C6_S318_R1_001"	"OD 0.1"
"II_C7_S319_R1_001"	"OD 0.3"
"II_C8_S320_R1_001"	"OD 0.3"
"II_C9_S321_R1_001"	"OD 0.3"
"II_D1_S325_R1_001"	"OD 2.0"
"II_D10_S334_R1_001"	"OD 1.0"
"II_D11_S335_R1_001"	"OD 1.0"
"II_D12_S336_R1_001"	"OD 1.0"
"II_D2_S326_R1_001"	"OD 2.0"
"II_D3_S327_R1_001"	"OD 2.0"
"II_D4_S328_R1_001"	"OD 0.1"
"II_D5_S329_R1_001"	"OD 0.1"
"II_D6_S330_R1_001"	"OD 0.1"
"II_D7_S331_R1_001"	"OD 0.3"
"II_D8_S332_R1_001"	"OD 0.3"
"II_D9_S333_R1_001"	"OD 0.3"
"II_E1_S337_R1_001"	"OD 2.0"
"II_E10_S346_R1_001"	"OD 1.0"
"II_E11_S347_R1_001"	"OD 1.0"
"II_E12_S348_R1_001"	"OD 1.0"
"II_E2_S338_R1_001"	"OD 2.0"
"II_E3_S339_R1_001"	"OD 2.0"
"II_E4_S340_R1_001"	"OD 0.1"
"II_E5_S341_R1_001"	"OD 0.1"
"II_E6_S342_R1_001"	"OD 0.1"
"II_E7_S343_R1_001"	"OD 0.3"
"II_E8_S344_R1_001"	"OD 0.3"
"II_E9_S345_R1_001"	"OD 0.3"
"II_F1_S349_R1_001"	"OD 2.0"
"II_F10_S358_R1_001"	"OD 1.0"
"II_F11_S359_R1_001"	"OD 1.0"
"II_F12_S360_R1_001"	"OD 1.0"
"II_F2_S350_R1_001"	"OD 2.0"
"II_F3_S351_R1_001"	"OD 2.0"
"II_F4_S352_R1_001"	"OD 0.1"
"II_F5_S353_R1_001"	"OD 0.1"
"II_F6_S354_R1_001"	"OD 0.1"
"II_F7_S355_R1_001"	"OD 0.3"
"II_F8_S356_R1_001"	"OD 0.3"
"II_F9_S357_R1_001"	"OD 0.3"
"II_G1_S361_R1_001"	"OD 2.0"
"II_G10_S370_R1_001"	"OD 1.0"
"II_G11_S371_R1_001"	"OD 1.0"
"II_G12_S372_R1_001"	"OD 1.0"
"II_G2_S362_R1_001"	"OD 2.0"
"II_G3_S363_R1_001"	"OD 2.0"
"II_G4_S364_R1_001"	"OD 0.1"
"II_G5_S365_R1_001"	"OD 0.1"
"II_G6_S366_R1_001"	"OD 0.1"
"II_G7_S367_R1_001"	"OD 0.3"
"II_G8_S368_R1_001"	"OD 0.3"
"II_G9_S369_R1_001"	"OD 0.3"
"II_H1_S373_R1_001"	"OD 2.0"
"II_H10_S382_R1_001"	"OD 1.0"
"II_H11_S383_R1_001"	"OD 1.0"
"II_H12_S384_R1_001"	"OD 1.0"
"II_H2_S374_R1_001"	"OD 2.0"
"II_H3_S375_R1_001"	"OD 2.0"
"II_H4_S376_R1_001"	"OD 0.1"
"II_H5_S377_R1_001"	"OD 0.1"
"II_H6_S378_R1_001"	"OD 0.1"
"II_H7_S379_R1_001"	"OD 0.3"
"II_H8_S380_R1_001"	"OD 0.3"
"II_H9_S381_R1_001"	"OD 0.3"
"III_A1_S1_R1_001"	"OD 0.1"
"III_A10_S10_R1_001"	"OD 2.0"
"III_A11_S11_R1_001"	"OD 2.0"
"III_A12_S12_R1_001"	"OD 2.0"
"III_A2_S2_R1_001"	"OD 0.1"
"III_A3_S3_R1_001"	"OD 0.1"
"III_A4_S4_R1_001"	"OD 0.3"
"III_A5_S5_R1_001"	"OD 0.3"
"III_A6_S6_R1_001"	"OD 0.3"
"III_A7_S7_R1_001"	"OD 1.0"
"III_A8_S8_R1_001"	"OD 1.0"
"III_A9_S9_R1_001"	"OD 1.0"
"III_B1_S13_R1_001"	"OD 0.1"
"III_B10_S22_R1_001"	"OD 2.0"
"III_B11_S23_R1_001"	"OD 2.0"
"III_B12_S24_R1_001"	"OD 2.0"
"III_B2_S14_R1_001"	"OD 0.1"
"III_B3_S15_R1_001"	"OD 0.1"
"III_B4_S16_R1_001"	"OD 0.3"
"III_B5_S17_R1_001"	"OD 0.3"
"III_B6_S18_R1_001"	"OD 0.3"
"III_B7_S19_R1_001"	"OD 1.0"
"III_B8_S20_R1_001"	"OD 1.0"
"III_B9_S21_R1_001"	"OD 1.0"
"III_C1_S25_R1_001"	"OD 0.1"
"III_C10_S34_R1_001"	"OD 2.0"
