Type	Start	End	Strand	Name	Biotype	Description	LocusTag	seed_ortholog	Cog_category	Description_EGGNog	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene	169	255	+	thrL	protein_coding	thr operon leader peptide	SL1344_0001															
gene	337	2799	+	thrA	protein_coding	aspartokinase I/homoserine dehydrogenase I	SL1344_0002	90371.CY43_00005	E	ACT domain	GO:0003674,GO:0003824,GO:0004072,GO:0004412,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006553,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009069,GO:0009070,GO:0009085,GO:0009089,GO:0009090,GO:0009092,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016491,GO:0016614,GO:0016616,GO:0016740,GO:0016772,GO:0016774,GO:0019202,GO:0019752,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0046451,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	1.1.1.3,2.7.2.4	ko:K12524,ko:K12525	ko00260,ko00261,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01130,map01230	M00016,M00017,M00018,M00526,M00527	R00480,R01773,R01775	RC00002,RC00043,RC00087	ko00000,ko00001,ko00002,ko01000	-	-	iECDH1ME8569_1439.ECDH1ME8569_0002,iEcDH1_1363.EcDH1_3594,iSFV_1184.SFV_0001	AA_kinase,ACT,ACT_7,Homoserine_dh,NAD_binding_3
gene	2801	3730	+	thrB	protein_coding	Homoserine kinase	SL1344_0003	220341.16501286	F	Catalyzes the ATP-dependent phosphorylation of L- homoserine to L-homoserine phosphate	GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0004413,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006555,GO:0006566,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009069,GO:0009086,GO:0009088,GO:0009092,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019202,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.7.1.39	ko:K00872	ko00260,ko01100,ko01110,ko01120,ko01230,map00260,map01100,map01110,map01120,map01230	M00018	R01771	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-	iECSE_1348.ECSE_0003	GHMP_kinases_C,GHMP_kinases_N
gene	3734	5020	+	thrC	protein_coding	threonine synthase	SL1344_0004	90371.CY43_00015	E	Threonine synthase N terminus	GO:0003674,GO:0003824,GO:0004795,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006566,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009088,GO:0009987,GO:0016053,GO:0016829,GO:0016835,GO:0016838,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	4.2.3.1	ko:K01733	ko00260,ko00750,ko01100,ko01110,ko01120,ko01230,map00260,map00750,map01100,map01110,map01120,map01230	M00018	R01466,R05086	RC00017,RC00526	ko00000,ko00001,ko00002,ko01000	-	-	iLF82_1304.LF82_2261,iNRG857_1313.NRG857_00025	PALP,Thr_synth_N
gene	5114	5887	-	yaaA	protein_coding	conserved hypothetical protein	SL1344_0005	90371.CY43_00020	S	Peroxide stress protein YaaA	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006979,GO:0008150,GO:0033194,GO:0042221,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:1901700	-	ko:K09861	-	-	-	-	ko00000	-	-	-	H2O2_YaaD
gene	5966	7396	-	yaaJ	protein_coding	hypothetical amino-acid transport protein	SL1344_0006	90371.CY43_00025	U	Sodium:alanine symporter family	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K03310	-	-	-	-	ko00000	2.A.25	-	iEcE24377_1341.EcE24377A_0007	Na_Ala_symp
gene	7665	8618	+	talB	protein_coding	transaldolase B	SL1344_0007															
gene	8729	9319	+	mog	protein_coding	molybdopterin biosynthesis Mog protein	SL1344_0008	90371.CY43_00035	H	Probable molybdopterin binding domain	GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006725,GO:0006732,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009144,GO:0009150,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019538,GO:0019637,GO:0019693,GO:0032324,GO:0034641,GO:0042278,GO:0042802,GO:0043170,GO:0043545,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046039,GO:0046128,GO:0046483,GO:0051186,GO:0051188,GO:0051189,GO:0055086,GO:0061598,GO:0070566,GO:0071704,GO:0072521,GO:0090407,GO:1901068,GO:1901135,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657	2.7.7.75	ko:K03831	ko00790,ko01100,ko04122,map00790,map01100,map04122	-	R09726	RC00002	ko00000,ko00001,ko01000	-	-	iAPECO1_1312.APECO1_1969,iECABU_c1320.ECABU_c00100,iECED1_1282.ECED1_0009,iECNA114_1301.ECNA114_4653,iECP_1309.ECP_0010,iECS88_1305.ECS88_0010,iECSF_1327.ECSF_0009,iECUMN_1333.ECUMN_0010,iEcSMS35_1347.EcSMS35_0008,iLF82_1304.LF82_1379,iNRG857_1313.NRG857_00050,iUMN146_1321.UM146_22820	MoCF_biosynth
gene	9376	9942	-	yaaH	protein_coding	conserved hypothetical protein	SL1344_0009	220341.16501292	S	GPR1/FUN34/yaaH family	GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006835,GO:0006846,GO:0006855,GO:0008028,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0015075,GO:0015077,GO:0015078,GO:0015123,GO:0015238,GO:0015291,GO:0015293,GO:0015294,GO:0015295,GO:0015318,GO:0015355,GO:0015360,GO:0015672,GO:0015711,GO:0015718,GO:0015740,GO:0015744,GO:0015849,GO:0015893,GO:0016020,GO:0022804,GO:0022857,GO:0022890,GO:0034220,GO:0035433,GO:0042221,GO:0042493,GO:0042891,GO:0042895,GO:0043893,GO:0044464,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071422,GO:0071702,GO:0071944,GO:0098655,GO:0098656,GO:0098660,GO:0098662,GO:1902600,GO:1903825,GO:1905039	-	ko:K07034	-	-	-	-	ko00000	-	-	-	Grp1_Fun34_YaaH
gene	10092	10805	-	htgA	protein_coding	conserved hypothetical protein	SL1344_0010															
